Time,Time Code,Country Name,Country Code,"Prevalence of obesity, female (% of female population ages 18+) [SH.STA.OB18.FE.ZS]","Prevalence of obesity, male (% of male population ages 18+) [SH.STA.OB18.MA.ZS]",Male & Female Obesity Rate
2016,YR2016,United Arab Emirates,ARE,41,27.5,34.25
2016,YR2016,United Kingdom,GBR,28.6,26.9,27.75
2016,YR2016,United States,USA,37,35.5,36.25
2016,YR2016,Uruguay,URY,30.6,24.9,27.75
2016,YR2016,Uzbekistan,UZB,19,13.8,16.4
2016,YR2016,Vanuatu,VUT,30.1,20.2,25.15
2016,YR2016,"Venezuela, RB",VEN,28.6,22.4,25.5
2016,YR2016,Viet Nam,VNM,2.6,1.6,2.1
2016,YR2016,Virgin Islands (U.S.),VIR,..,..,#VALUE!
2016,YR2016,West Bank and Gaza,PSE,..,..,#VALUE!
2016,YR2016,"Yemen, Rep.",YEM,22,12,17
2016,YR2016,Zambia,ZMB,12.4,3.6,8
2016,YR2016,Zimbabwe,ZWE,25.3,4.7,15
,,,,,,
,,,,,,
,,,,,,
Data from database: Gender Statistics,,,,,,
Last Updated: 07/31/2025,,,,,,
