Time,Time Code,Country Name,Country Code,Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",GDP (current US$) [NY.GDP.MKTP.CD],Male & Female Obesity Rate,Region,,,,
2016,YR2016,Kenya,KEN,73.88768005,38.7,62.526,74815144164,6.95,Sub-Saharan Africa,,,,
2016,YR2016,Kiribati,KIR,157.7289734,42.6,65.799,206467818.5,46,East Asia & Pacific,,,,
2016,YR2016,"Korea, Dem. People's Rep.",PRK,..,16.5,72.971,..,6.7,East Asia & Pacific,,,,
2016,YR2016,"Korea, Rep.",KOR,2015.13208,2.8,82.27560976,1.49968E+12,4.6,East Asia & Pacific,,,,
2016,YR2016,Kosovo,XKX,..,12.3,76.748,6682677290,..,Europe & Central Asia,,,,
2016,YR2016,Kuwait,KWT,1292.719849,7.7,79.67758537,1.09407E+11,39.45,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,Kyrgyz Republic,KGZ,71.52179718,18.4,70.95121951,6813095379,16.3,Europe & Central Asia,,,,
2016,YR2016,Lao PDR,LAO,54.3762207,45.2,67.014,15912501723,5.2,East Asia & Pacific,,,,
2016,YR2016,Latvia,LVA,874.7977295,4,74.5804878,27117105060,23.35,Europe & Central Asia,,,,
2016,YR2016,Lebanon,LBN,640.9656372,11.4,78.306,51147308774,32.2,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,Lesotho,LSO,91.45993805,68.3,52.908,2114426452,15.65,Sub-Saharan Africa,,,,
2016,YR2016,Liberia,LBR,67.68016052,61.8,60.483,3398419600,9.85,Sub-Saharan Africa,,,,
2016,YR2016,Libya,LBY,464.4753113,10.2,71.799,49912073701,32.3,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,Liechtenstein,LIE,..,..,82.25853659,6237302034,..,Europe & Central Asia,,,,
2016,YR2016,Lithuania,LTU,988.5279541,4,74.67073171,42970749245,26,Europe & Central Asia,,,,
2016,YR2016,Luxembourg,LUX,5475.139648,2.1,82.68536585,62216885436,22.6,Europe & Central Asia,,,,
2016,YR2016,"Macao SAR, China",MAC,..,..,83.27560976,45070808689,..,East Asia & Pacific,,,,
2016,YR2016,Madagascar,MDG,24.20793915,43.8,63.431,11848613858,5.25,Sub-Saharan Africa,,,,
2016,YR2016,Malawi,MWI,34.0307579,37.6,63.163,7909868618,5.65,Sub-Saharan Africa,,,,
2016,YR2016,Malaysia,MYS,350.7116089,6.7,75.371,3.01256E+11,15.45,East Asia & Pacific,,,,
2016,YR2016,Maldives,MDV,1017.999084,8,78.913,4409942624,8.6,South Asia,,,,
2016,YR2016,Mali,MLI,27.58086205,68,58.286,16743796800,8.5,Sub-Saharan Africa,,,,
2016,YR2016,Malta,MLT,2321.15332,5.7,82.45365854,12025782885,28.85,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,Marshall Islands,MHL,619.3566895,28.7,65.477,201800000,52.85,East Asia & Pacific,,,,
2016,YR2016,Mauritania,MRT,49.90084076,37.6,66.823,6398747592,12.55,Sub-Saharan Africa,,,,
2016,YR2016,Mauritius,MUS,540.392395,13,74.39487805,12594155464,10.65,Sub-Saharan Africa,,,,
2016,YR2016,Mexico,MEX,489.9223023,13.5,74.376,1.11223E+12,28.55,Latin America & Caribbean,,,,
2016,YR2016,"Micronesia, Fed. Sts.",FSM,399.7465515,25.7,65.576,325000000,45.8,East Asia & Pacific,,,,
